,"Vesdre, Chaudfontaine","Franse Maas, Chooz","Lesse, Gendron","Ambleve, Martinrive","Semois, Membre","Ourthe, Tabreux","Ourthe, Sauheid","Sambre, Salzinnes","Geul, Meerssen","Roer, Stah",Chooz (-Membre),"Niers, Goch","Maas, Borgharen"
1991-01-05,,1131.33,188.45,146.63,343.05,186.26,315.12,,22.544,82.227,788.28,15.1,1812.0
1991-12-24,,568.88,169.0,374.8,160.79,330.5,679.98,,27.025,109.694,408.09000000000003,13.9,1597.0
1992-03-14,96.02,381.54,74.27,144.0,108.05,88.15,242.38,,14.221,49.452,273.49,10.5,805.0
1992-12-05,32.53,731.48,150.1,68.79,187.72,107.64,173.75,,11.44,49.121,543.76,10.4,1229.0
1993-01-13,178.11,1116.72,344.66,218.23,472.68,269.16,429.39,,30.622,104.88,644.04,17.9,2347.0
1993-12-23,140.06,1527.59,390.8,297.29,554.16,432.99,741.09,,26.611,119.156,973.43,23.1,3080.0
1994-01-07,131.07,1013.91,167.29,142.84,294.44,161.45,303.4,,21.896,109.569,719.47,30.6,1610.0
1994-01-28,61.24,464.71,86.06,100.42,101.33,115.89,219.48,,11.195,72.298,363.38,22.3,899.0
1994-03-21,111.56,426.33,79.06,116.91,93.53,109.18,231.79,,3.667,71.096,332.79999999999995,24.3,857.0
1994-04-11,53.66,515.15,101.52,81.88,123.81,103.99,171.27,,8.85,60.599,391.34,23.2,1027.0
1994-12-31,117.82,798.61,142.02,127.88,237.69,156.61,288.04,,27.003,66.123,560.9200000000001,13.7,1354.0
1995-01-12,78.53,464.18,128.88,149.66,87.62,157.13,283.75,,18.137,61.283,376.56,14.3,1039.0
1995-01-31,132.92,1559.54,295.12,241.59,424.33,338.21,552.21,,31.992,105.68,1135.21,38.2,2855.0
1995-02-21,39.69,753.5,103.33,72.37,200.42,108.68,184.38,,12.31,54.199,553.08,24.4,1226.0
1995-12-26,37.65,409.4,104.18,58.45,131.48,96.94,145.7,,9.022,32.328,277.91999999999996,8.76,751.0
1996-11-21,24.24,423.86,78.49,37.69,93.73,56.99,92.23,,6.631,29.094,330.13,7.7,764.0
1996-12-06,30.41,494.0,60.18,61.44,139.95,65.03,124.07,,11.05,36.88,354.05,15.7,829.0
1997-02-14,54.13,448.74,99.79,79.39,98.53,100.81,187.31,,26.983,61.212,350.21000000000004,13.3,1059.0
1997-02-26,41.7,656.94,133.29,74.04,234.08,109.94,182.08,,11.553,40.689,422.86,13.7,1184.0
1998-01-06,29.78,583.41,117.96,70.48,183.02,103.22,182.18,,7.192,39.548,400.39,10.1,1054.0
1998-01-21,20.83,485.73,55.26,46.52,117.02,63.39,112.75,,6.976,26.674,368.71000000000004,7.46,802.0
1998-03-10,45.51,332.8,65.03,75.1,88.05,101.37,188.97,,17.038,46.405,244.75,13.3,770.0
1998-04-09,49.71,555.61,113.48,63.26,107.29,90.38,172.49,,10.907,39.158,448.32,13.0,1083.0
1998-11-03,129.35,860.42,159.61,249.05,291.94,212.26,405.71,,32.786,95.788,568.48,36.5,1593.0
1998-12-15,75.52,385.63,94.56,146.94,118.55,142.49,258.16,,9.757,39.237,267.08,15.5,893.0
1998-12-29,22.34,487.96,54.62,47.86,143.75,65.89,112.3,,7.423,50.344,344.21,13.5,802.0
1999-01-10,36.53,354.13,54.09,45.6,99.49,68.67,122.63,,18.36,55.393,254.64,17.6,811.0
1999-01-18,33.22,464.44,62.54,53.26,102.68,66.84,124.15,,8.833,39.135,361.76,17.5,876.0
1999-01-29,84.02,418.5,91.22,111.89,90.41,117.5,226.1,,15.922,71.36,328.09000000000003,17.2,1064.0
1999-02-22,131.12,516.28,141.64,178.49,106.97,194.22,357.26,,20.415,84.703,409.30999999999995,23.6,1282.0
1999-03-04,124.56,662.3,102.83,191.72,157.54,196.18,385.1,,21.83,84.315,504.76,28.6,1406.0
1999-12-15,63.63,838.65,146.06,105.49,316.04,160.19,269.12,,22.116,52.84,522.6099999999999,12.8,1377.0
1999-12-28,75.05,996.76,234.36,136.44,228.9,194.54,357.4,,17.828,72.798,767.86,18.3,2029.0
2000-01-31,80.84,400.08,56.09,108.07,84.88,85.95,221.06,,23.387,57.75,315.2,12.8,869.0
2000-02-20,43.44,509.8,80.31,65.87,107.15,101.82,182.72,,12.914,43.682,402.65,13.8,931.0
2000-03-04,83.09,517.97,120.35,103.83,139.16,138.68,265.15,,20.731,74.251,378.81000000000006,21.2,1236.0
2000-11-09,14.46,481.01,69.67,26.5,142.74,61.78,85.18,,5.642,29.132,338.27,7.95,791.0
2000-11-27,15.14,538.13,73.33,29.45,136.33,56.45,83.89,,6.207,28.102,401.79999999999995,9.48,828.0
2000-12-15,20.54,508.95,85.26,40.76,144.74,76.28,116.37,,14.091,31.852,364.21,10.4,854.0
2001-01-07,50.31,1023.56,290.48,107.92,387.26,167.33,280.72,,17.304,47.422,636.3,13.9,1776.0
2001-01-25,25.43,560.09,70.74,53.12,136.92,72.86,115.58,,14.087,47.35,423.1700000000001,13.9,973.0
2001-02-08,53.71,756.81,107.73,91.12,232.55,115.65,220.02,,22.111,59.093,524.26,18.6,1291.0
2001-03-27,72.15,869.83,177.0,85.07,137.97,152.0,279.04,,23.485,87.341,731.86,15.0,1695.0
2001-04-17,72.49,435.01,104.75,106.3,78.87,112.4,237.5,,27.988,60.822,356.14,13.7,1048.0
2001-04-30,25.65,396.4,81.44,51.17,90.9,81.56,137.02,,7.729,41.504,305.5,12.5,800.0
2001-11-10,52.44,328.63,105.9,97.71,81.22,105.36,168.41,,23.305,57.556,247.41,8.03,809.0
2001-12-02,49.14,409.44,90.08,84.8,86.46,105.9,207.53,,19.399,57.82,322.98,14.1,969.0
2001-12-30,71.39,430.32,78.54,84.53,110.43,96.99,176.51,,31.261,65.037,319.89,13.7,820.0
2002-01-28,169.94,771.44,184.36,253.65,259.14,213.14,468.94,,34.347,115.524,512.3000000000001,22.7,1867.0
2002-02-14,142.34,814.04,274.34,275.34,233.17,343.09,586.12,,26.751,109.38,580.87,15.4,2181.0
2002-02-27,159.36,1047.38,178.58,192.92,262.03,243.69,421.11,,38.987,125.021,785.3500000000001,29.9,2031.0
2002-03-22,100.04,643.96,94.0,114.83,161.56,108.34,261.54,,21.264,63.171,482.40000000000003,17.2,1317.0
2002-11-13,73.19,696.33,225.89,185.37,158.66,177.34,355.1,,22.369,60.979,537.6700000000001,15.3,1411.0
2003-01-04,112.51,1173.73,346.34,185.37,476.92,380.07,525.14,,31.247,109.308,696.81,34.9,2379.0
2003-02-04,53.47,436.03,64.92,56.39,87.23,87.88,168.47,,22.843,56.961,348.79999999999995,18.7,934.0
2004-01-21,130.84,619.15,130.01,191.5,162.49,134.86,293.6,,31.173,92.021,456.65999999999997,18.6,1237.0
2005-02-13,110.34,474.03,89.63,127.96,112.55,129.34,277.33,,32.801,94.37,361.47999999999996,27.6,1128.0
2006-02-17,34.35,400.56,94.27,81.28,82.55,83.54,169.54,,12.561,44.829,318.01,12.9,819.0
2006-03-12,55.49,516.8,89.26,104.49,100.58,123.84,238.46,,15.091,46.622,416.21999999999997,17.0,1115.0
2006-04-03,60.0,512.58,70.68,84.33,140.9,72.2,165.1,,18.15,56.665,371.68000000000006,13.9,922.0
2006-05-29,85.49,354.7,92.95,117.71,105.81,86.91,218.27,,28.323,50.078,248.89,13.6,824.0
2006-12-10,23.78,504.14,76.87,43.54,132.96,63.79,97.08,,9.947,30.429,371.17999999999995,10.8,840.0
2007-01-19,77.53,795.27,185.59,162.81,368.25,161.56,315.18,147.05,34.595,86.783,427.02,19.3,1478.0
2007-02-15,28.64,611.24,83.73,73.85,128.27,106.53,175.94,121.54,9.259,36.493,482.97,18.1,1021.0
2007-03-03,51.48,623.26,95.75,97.94,183.37,123.85,224.03,98.64,19.464,49.236,439.89,20.9,1157.0
2007-12-09,70.65,714.02,114.66,136.09,198.34,135.42,266.86,169.65,28.94,79.375,515.68,18.1,1311.0
2008-02-07,42.78,576.95,79.68,45.04,162.57,62.08,105.03,77.8,26.107,49.649,414.38000000000005,17.5,937.0
2008-03-02,56.15,434.31,95.7,106.08,96.73,104.26,204.16,105.18,18.431,36.823,337.58,12.2,889.0
2008-03-12,50.83,502.54,178.9,102.42,121.61,116.07,212.29,185.82,11.315,39.184,380.93,10.1,1128.0
2008-03-22,65.01,541.99,122.44,98.15,110.16,147.04,247.46,172.84,19.613,69.097,431.83000000000004,17.0,1273.0
2008-04-15,66.81,432.0,81.61,90.16,64.53,92.56,182.31,54.87,21.548,63.512,367.47,13.7,904.0
2008-12-07,34.68,438.94,58.69,66.84,124.06,71.13,134.73,84.16,8.63,28.901,314.88,8.85,782.0
2009-01-24,39.62,699.79,112.58,64.0,160.89,85.2,131.44,147.78,10.2,30.449,538.9,13.0,1139.0
2009-02-11,46.91,487.21,74.75,97.74,109.78,103.53,165.16,123.12,16.947,41.247,377.42999999999995,14.7,928.0
2010-01-01,34.81,531.49,94.59,62.14,108.04,95.96,152.53,75.01,11.485,35.455,423.45,20.4,906.0
2010-02-05,31.26,477.6,58.92,36.47,87.76,59.45,100.27,113.78,20.903,41.526,389.84000000000003,16.5,779.0
2010-03-02,61.93,549.68,78.06,100.01,130.47,109.16,243.85,149.52,15.703,50.576,419.2099999999999,16.6,1063.0
2010-11-15,134.44,806.03,132.8,160.09,215.33,180.56,373.56,262.2,46.393,94.206,590.6999999999999,29.0,1648.0
2011-01-09,132.12,1033.97,338.6,269.61,452.28,287.4,555.58,272.23,36.261,113.768,581.69,20.8,2242.0
2011-12-18,74.26,784.02,146.1,109.23,326.27,122.37,206.13,147.99,17.901,44.601,457.75,15.3,1276.0
2012-01-06,78.85,803.78,168.74,139.36,315.74,187.25,331.42,143.87,28.976,81.497,488.03999999999996,22.1,1564.0
2012-01-22,96.86,421.86,83.6,118.35,80.27,106.03,204.98,104.36,18.357,60.284,341.59000000000003,21.9,931.0
2012-12-28,109.02,692.91,113.66,149.5,199.71,140.99,303.91,128.61,30.95,99.858,493.19999999999993,20.3,1309.0
2013-02-02,64.75,637.44,82.4,82.55,157.0,102.16,187.4,123.25,18.059,47.268,480.44000000000005,16.7,1076.0
2013-11-09,94.56,509.81,113.35,132.57,131.1,122.02,258.09,136.82,23.019,54.023,378.71000000000004,12.2,1053.0
2013-12-27,34.14,654.73,253.07,55.76,152.72,117.84,170.43,168.95,10.522,29.4,502.01,15.6,1236.0
2014-12-15,52.56,460.1,124.45,91.48,123.1,119.64,221.59,165.27,16.463,36.559,337.0,9.71,1030.0
2015-01-10,78.39,477.84,72.77,125.96,106.14,100.56,234.59,156.22,24.264,68.152,371.7,19.8,980.0
2015-02-27,51.73,425.18,70.12,70.04,88.18,80.67,143.84,130.32,12.058,32.293,337.0,14.9,797.0
2015-04-04,38.33,341.56,90.79,82.33,63.76,95.72,172.42,106.96,12.538,45.855,277.8,16.9,768.0
2016-02-10,60.83,605.81,149.84,94.58,139.25,126.07,240.62,143.44,23.795,61.115,466.55999999999995,21.2,1235.0
2016-02-24,70.1,591.13,92.06,108.09,129.92,122.33,251.06,152.33,19.983,59.938,461.21000000000004,20.3,1157.0
2016-06-03,91.18,350.39,150.6,116.57,67.48,123.53,230.76,110.48,26.481,65.458,282.90999999999997,28.3,891.0
2017-03-11,69.62,441.24,83.55,107.12,93.34,104.73,199.72,91.36,16.491,35.541,347.9,18.4,873.0
2017-12-14,48.78,611.23,114.44,97.1,166.69,124.14,219.22,112.86,14.261,45.096,444.54,16.7,1123.94
2018-01-05,78.5,785.72,129.14,139.41,229.53,136.53,281.46,124.58,14.544,77.287,556.19,21.0,1358.58
2018-01-26,30.62,711.83,73.77,59.2,105.42,83.34,144.84,96.1,7.132,48.799,606.4100000000001,14.9,956.27
2018-02-03,50.17,708.35,56.59,68.0,120.58,74.08,137.35,99.45,10.737,48.759,587.77,13.7,974.87
2018-12-25,55.76,527.67,63.83,85.8,145.46,75.28,123.51,64.73,9.431,40.75,382.2099999999999,,806.05
2019-02-11,71.26,558.91,151.82,116.2,168.23,133.75,254.67,140.02,26.219,51.486,390.67999999999995,,1191.43
2019-03-16,141.13,660.01,139.71,203.12,153.53,178.27,411.3,196.8,30.304,126.304,506.48,,1540.34
2019-12-15,42.34,578.78,95.24,81.74,165.02,107.92,195.83,105.15,8.499,38.169,413.76,,1015.32
2019-12-25,29.89,538.94,82.09,67.04,145.54,89.84,161.0,86.95,7.436,42.943,393.4000000000001,,864.85
2020-02-05,78.11,806.88,216.76,138.74,250.6,195.16,337.7,181.22,18.697,48.945,556.28,,1612.785625
2020-03-11,82.46,741.66,137.21,127.55,147.11,163.79,295.4,176.7,26.734,111.027,594.55,,1436.850416666667
2020-12-24,39.73,704.06,144.21,105.33,214.54,140.57,244.29,153.62,7.04,24.466,489.52,,1235.5843055555556
2021-01-30,114.04,742.93,169.29,206.77,173.16,227.18,419.23,198.71,19.643,95.34,569.77,,1736.2472222222225
2021-07-18,400.0,773.25,627.12,661.07,147.54,542.17,1093.29,306.42,54.434,270.0,625.71,,3179.44
