,"Vesdre, Chaudfontaine","Franse Maas, Chooz","Lesse, Gendron","Ambleve, Martinrive","Semois, Membre","Ourthe, Tabreux","Ourthe, Sauheid","Sambre, Salzinnes","Geul, Meerssen","Roer, Stah",Chooz (-Membre),"Niers, Goch","Maas, Megen"
1996-12-06,30.41,494.0,60.18,61.44,139.95,65.03,124.07,,11.05,36.88,354.05,10.099,822.6
1997-01-02,8.82,216.64,11.93,15.38,22.75,17.7,30.04,,3.802,17.217,193.89,12.01,773.1
1997-02-15,54.13,448.74,99.79,79.39,98.53,100.81,187.31,,26.983,61.212,350.21000000000004,13.255,957.75
1997-02-28,41.7,656.94,133.29,74.04,234.08,109.94,182.08,,11.553,40.689,422.86,13.743,1045.7
1998-01-08,29.78,583.41,117.96,70.48,183.02,103.22,182.18,,6.98,39.548,400.39,28.963,981.9
1998-03-10,45.51,332.8,65.03,75.1,88.05,101.37,188.97,,17.038,46.405,244.75,35.864,795.6
1998-04-10,49.71,555.61,113.48,63.26,107.29,90.38,172.49,,10.907,39.158,448.32,36.538,977.8
1998-09-16,274.46,100.61,29.42,293.37,26.17,98.26,372.34,,45.604,78.95,74.44,22.504,821.4
1998-11-04,129.35,860.42,159.61,249.05,291.94,212.26,405.71,,32.786,95.788,568.48,25.055,1482.6
1998-12-16,75.52,385.63,94.56,146.94,118.55,142.49,258.16,,9.757,39.237,267.08,24.211,894.6
1998-12-30,22.34,487.96,54.62,47.86,143.75,65.89,112.3,,7.423,50.344,344.21,13.476,790.0
1999-01-19,33.22,464.44,62.54,53.26,102.68,66.84,124.15,,8.833,39.107,361.76,17.542,894.7
1999-01-31,84.02,418.5,91.22,111.89,90.41,117.5,226.1,,15.922,71.36,328.09000000000003,20.239,1007.7
1999-02-24,131.12,516.28,141.64,178.49,106.97,194.22,357.26,,20.415,84.703,409.30999999999995,23.642,1327.6
1999-03-06,124.56,662.3,102.83,191.72,157.54,196.18,385.1,,21.83,84.315,504.76,24.8,1408.1
1999-12-16,63.63,838.65,146.06,105.49,316.04,160.19,269.12,,22.116,52.84,522.6099999999999,12.789,1228.1
1999-12-30,75.05,996.76,234.36,136.44,228.9,194.54,357.4,,17.828,72.798,767.86,18.336,1577.2
2000-02-02,80.84,400.08,56.09,108.07,84.88,85.95,221.06,,23.387,57.75,315.2,18.617,847.5
2000-02-21,43.44,509.8,80.31,65.87,107.15,101.82,182.72,,12.914,43.682,402.65,13.788,935.8
2000-03-06,83.09,517.97,120.35,103.83,139.16,138.68,265.15,,20.731,74.251,378.81000000000006,18.431,1127.4
2000-11-10,14.08,481.01,69.67,26.5,142.74,61.78,85.18,,4.903,24.526,338.27,18.877,765.4
2000-11-28,15.14,538.13,73.33,29.45,136.33,56.45,83.89,,6.207,28.102,401.79999999999995,9.669,891.6
2000-12-17,20.54,508.95,85.26,40.76,144.74,76.28,116.37,,14.091,31.852,364.21,10.444,901.7
2001-01-08,50.31,1023.56,290.48,107.92,387.26,167.33,280.72,,17.304,47.422,636.3,12.197,1499.2
2001-01-29,25.43,563.31,70.74,53.12,136.92,72.86,115.58,,14.087,47.35,426.39,13.879,1029.0
2001-02-10,53.71,756.81,107.73,91.12,232.55,115.65,220.02,,22.111,59.093,524.26,14.075,1332.3
2001-03-30,72.15,869.83,177.0,82.9,137.97,152.0,279.04,,23.485,87.341,731.86,15.008,1484.0
2001-04-18,72.49,435.01,104.75,106.3,78.87,112.4,237.5,,27.988,60.822,356.14,13.672,1173.7
2001-05-01,25.65,396.4,81.44,65.36,90.9,81.56,137.02,,7.729,40.179,305.5,17.455,919.0
2001-11-10,52.44,328.63,105.9,97.71,81.22,105.36,168.41,,23.305,57.556,247.41,11.097,809.4
2001-12-03,49.14,409.44,90.08,84.8,86.46,105.9,207.53,,19.399,57.82,322.98,11.938,1005.9
2001-12-31,71.39,430.32,78.54,84.53,110.43,96.99,176.51,,31.261,65.037,319.89,29.936,904.9
2002-01-30,169.94,771.44,184.36,253.65,259.14,213.14,468.94,,34.347,115.524,512.3000000000001,22.671,1476.0
2002-02-15,142.34,814.04,274.34,275.34,233.17,343.09,586.12,,26.751,109.38,580.87,15.376,1513.0
2002-03-06,109.84,1047.38,178.47,158.9,262.03,201.95,420.71,,24.483,123.32,785.3500000000001,29.949,1406.0
2002-03-24,100.04,643.96,94.0,114.83,161.56,108.34,261.54,,21.264,63.171,482.40000000000003,17.217,1350.0
2002-11-14,73.19,696.33,225.89,185.37,158.66,177.34,355.1,,22.369,60.979,537.6700000000001,14.519,1388.0
2003-01-02,112.51,1173.73,346.34,185.37,476.92,380.07,525.14,,31.247,109.308,696.81,26.435,1488.5
2003-01-10,101.96,1173.73,346.34,183.57,476.92,380.07,525.14,,26.452,109.308,696.81,15.223,1390.4
2003-02-05,53.47,436.03,64.92,56.39,87.23,87.88,168.47,,22.843,56.961,348.79999999999995,27.956,1040.2
2004-01-22,130.84,619.15,130.01,191.5,158.79,134.86,293.6,,31.173,92.021,460.36,18.612,1285.11
2004-02-03,42.13,317.61,44.81,69.98,70.72,59.76,131.12,,16.452,43.846,246.89000000000001,13.341,864.62
2005-02-16,110.34,474.03,89.63,127.96,112.55,129.34,277.33,,32.801,94.37,361.47999999999996,27.584,1211.12
2006-02-21,34.35,402.01,94.27,81.28,85.39,83.54,169.54,,12.561,44.829,316.62,14.539,858.1
2006-03-13,55.49,516.8,89.26,104.49,100.58,123.84,238.46,,15.091,46.622,416.21999999999997,13.403,1093.61
2006-04-04,60.0,512.58,70.68,84.33,140.9,72.2,165.1,,18.15,56.665,371.68000000000006,12.469,984.57
2006-05-30,85.49,354.7,92.95,117.71,105.81,86.91,218.27,,28.323,50.078,248.89,13.635,875.52
2006-12-11,23.78,504.14,76.87,43.54,132.96,63.79,97.08,,9.947,30.429,371.17999999999995,10.508,830.63
2007-01-21,77.53,795.27,185.59,162.81,368.25,161.56,315.18,147.05,34.595,86.783,427.02,19.343,1449.15
2007-02-17,28.64,611.24,83.73,73.85,128.27,106.53,175.94,121.54,9.259,36.493,482.97,18.073,1034.65
2007-03-05,51.48,680.42,95.75,97.94,183.37,123.85,224.03,119.84,19.464,49.236,497.04999999999995,20.474,1163.72
2007-12-10,70.65,714.02,114.66,136.09,198.34,135.42,266.86,169.65,28.94,79.375,515.68,15.147,1309.09
2008-01-20,22.68,405.7,103.32,69.44,126.15,76.7,134.45,53.57,4.14,24.097,279.54999999999995,15.287,754.5
2008-02-08,42.78,576.95,79.68,45.04,162.57,62.08,105.03,77.8,26.107,49.649,414.38000000000005,13.284,925.5
2008-03-03,56.15,434.31,95.7,106.08,96.73,104.26,204.16,105.18,18.431,36.823,337.58,14.519,861.0
2008-03-25,65.01,541.99,122.44,98.15,110.16,147.04,247.46,172.84,19.613,69.097,431.83000000000004,17.03,1258.2
2008-04-16,66.81,432.0,81.61,90.16,64.53,92.56,182.31,54.87,21.548,63.512,367.47,11.334,886.7
2008-12-08,34.68,438.94,58.69,66.84,124.06,71.13,134.73,84.16,8.63,28.901,314.88,12.142,804.1
2009-01-26,39.62,699.79,112.58,64.0,160.89,85.2,131.44,147.78,10.2,30.449,538.9,12.98,1051.1
2009-02-13,46.91,487.21,74.75,97.74,109.78,103.53,165.16,123.12,16.947,41.247,377.42999999999995,12.286,917.2
2010-01-03,34.81,531.49,94.59,62.14,108.04,95.96,152.53,75.01,11.485,35.455,423.45,20.437,918.2
2010-02-06,31.26,477.6,58.92,41.27,87.76,59.45,100.27,113.78,20.903,41.526,389.84000000000003,17.215,832.6
2010-03-02,61.93,549.68,78.06,100.01,130.47,109.16,243.85,149.52,15.703,50.576,419.2099999999999,14.511,1054.8
2010-11-16,134.44,806.03,132.8,160.09,215.33,180.56,373.56,262.2,46.393,94.206,590.6999999999999,28.99,1480.6
2011-01-09,132.12,1033.97,338.6,269.61,452.28,287.4,555.58,272.23,36.261,113.768,581.69,16.95,1469.0
2011-01-20,203.78,778.27,133.48,287.02,171.6,203.56,459.55,201.48,33.271,134.414,606.67,27.747,1419.02
2011-12-19,74.26,784.02,146.1,109.23,326.27,122.37,206.13,147.99,17.901,44.601,457.75,15.253,1223.25
2012-01-10,78.67,803.78,168.74,139.36,315.74,187.25,331.42,143.87,28.976,81.497,488.03999999999996,14.128,1472.9
2012-01-24,96.86,415.79,83.6,118.35,80.27,106.03,204.98,104.36,18.357,60.284,335.52000000000004,21.868,1037.27
2012-12-30,109.02,692.91,113.66,149.5,199.71,140.99,303.91,128.61,30.95,99.858,493.19999999999993,20.332,1390.82
2013-02-04,64.75,637.44,82.4,82.55,157.0,102.16,187.4,123.25,18.059,50.576,480.44000000000005,15.711,1138.8
2013-11-10,94.56,509.81,113.35,132.57,131.1,122.02,258.09,136.82,23.019,54.023,378.71000000000004,11.352,1085.5
2013-12-28,34.14,654.73,253.07,55.76,152.72,117.84,170.43,168.95,10.522,29.4,502.01,15.572,1173.8
2014-12-15,52.56,460.1,124.45,91.48,123.1,119.64,221.59,165.27,16.463,36.559,337.0,9.71,1026.63
2015-01-11,78.39,477.84,72.77,125.96,106.14,100.56,234.59,156.22,24.264,68.152,371.7,16.538,1125.13
2015-01-31,35.35,396.26,60.22,48.12,63.68,70.35,112.89,116.62,11.609,36.131,332.58,15.761,794.88
2015-03-01,51.73,425.18,70.12,70.04,88.18,80.67,143.84,130.32,12.058,32.293,337.0,15.883,847.78
2015-04-04,38.33,341.56,90.79,82.33,63.76,95.72,172.42,106.96,12.538,45.855,277.8,15.061,810.77
2015-12-02,83.37,295.11,58.99,131.8,109.54,108.05,246.86,84.79,19.021,68.022,185.57,18.742,853.73
2016-01-17,29.6,374.57,65.58,60.67,96.02,79.79,138.08,94.01,6.644,32.764,278.55,12.271,805.2
2016-02-12,60.83,605.81,149.84,94.58,139.25,126.07,240.62,143.44,20.249,56.246,466.55999999999995,18.609,1245.9
2016-02-25,70.1,591.13,92.06,108.09,129.92,122.33,251.06,152.33,19.983,59.938,461.21000000000004,20.283,1256.5
2016-03-09,40.94,378.46,51.48,42.35,54.95,50.61,99.31,101.92,9.434,43.831,323.51,22.849,812.8
2016-06-03,91.18,350.39,150.6,116.57,67.48,123.53,230.76,110.48,26.481,65.458,282.90999999999997,26.834,1031.7
2016-06-20,36.45,337.4,70.0,59.99,52.7,64.71,131.83,58.01,15.821,53.714,284.7,11.399,773.5
2017-03-12,69.62,441.24,83.55,107.12,93.34,104.73,199.72,91.36,16.491,35.541,347.9,13.268,865.0
2017-11-30,49.98,465.99,85.29,106.29,120.27,93.76,186.11,46.71,11.084,34.451,345.72,14.496,796.0
2017-12-16,54.64,611.23,114.44,97.1,166.69,124.14,219.22,112.86,14.261,48.64,444.54,16.675,1178.4
2018-01-07,78.5,785.72,129.14,139.41,229.53,136.53,281.46,124.58,14.544,77.287,556.19,16.364,1445.77
2018-02-03,50.17,708.35,56.59,68.0,120.58,74.08,137.35,99.45,10.737,48.759,587.77,17.002,1083.43
2018-12-25,55.76,527.67,63.83,85.8,145.46,75.28,123.51,64.73,9.431,40.75,382.2099999999999,7.524,849.57
2019-02-13,71.26,558.91,151.82,116.2,168.23,133.75,254.67,140.02,26.219,51.486,390.67999999999995,9.962,1178.51
2019-03-19,141.13,660.01,139.71,203.12,153.53,178.27,411.3,196.8,30.304,126.304,506.48,12.974,1519.83
2019-12-16,42.34,578.78,95.24,81.74,165.02,107.92,195.83,105.15,8.499,42.821,413.76,12.12,1041.21
2019-12-27,28.89,538.94,82.09,67.04,113.27,89.84,161.0,86.95,6.539,42.943,425.6700000000001,10.663,935.48
2020-02-07,78.11,806.88,216.76,138.74,250.6,195.16,337.7,181.22,18.697,48.945,556.28,21.25,1484.72
2020-03-13,82.46,741.66,137.21,127.55,147.11,163.79,295.4,176.7,26.734,111.027,594.55,23.657,1489.07
2020-12-26,39.73,704.06,144.21,105.33,214.54,140.57,244.29,153.62,7.04,24.466,489.52,5.5,1128.67
2021-01-31,114.04,742.93,169.29,206.77,173.16,227.18,419.23,198.71,19.643,95.34,569.77,18.333,1519.61
2021-06-20,16.88,114.32,32.12,36.77,8.07,23.81,43.04,105.75,4.186,26.299,106.25,7.173,999.7
2021-07-16,400.0,773.25,627.12,661.07,147.54,542.17,1093.29,306.42,54.434,270.0,625.71,15.333,1565.77
2022-01-12,58.26,688.16,147.02,117.98,178.0,142.92,261.23,211.18,,,510.15999999999997,,1290.55
2022-02-09,82.64,372.71,54.64,117.89,114.28,95.13,206.3,67.78,,,258.42999999999995,,855.72
2022-02-24,43.82,426.3,62.33,78.85,118.87,81.66,160.39,89.45,,,307.43,,895.67
